,country,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,vaccines
93,Israel,10578111.0,5449566.0,5128545.0,122.21,62.96,59.25,"Moderna, Pfizer/BioNTech"
94,Italy,33555795.0,22602210.0,11495551.0,55.5,37.38,19.01,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
95,Jamaica,164703.0,150273.0,14430.0,5.56,5.07,0.49,Oxford/AstraZeneca
96,Japan,11176328.0,8104589.0,3071739.0,8.84,6.41,2.43,Pfizer/BioNTech
97,Jersey,103044.0,59388.0,43656.0,101.95,58.76,43.19,"Oxford/AstraZeneca, Pfizer/BioNTech"
98,Jordan,1879809.0,1389247.0,490562.0,18.42,13.62,4.81,"Pfizer/BioNTech, Sinopharm/Beijing"
99,Kazakhstan,3097941.0,2076841.0,1021100.0,16.5,11.06,5.44,"QazVac, Sinopharm/HayatVax, Sputnik V"
100,Kenya,966433.0,966433.0,0.0,1.8,1.8,0.0,"Oxford/AstraZeneca, Sputnik V"
101,Kosovo,55237.0,55237.0,0.0,2.86,2.86,0.0,Oxford/AstraZeneca
102,Kuwait,1820000.0,822000.0,38000.0,42.62,19.25,0.89,Pfizer/BioNTech
103,Kyrgyzstan,54101.0,37117.0,6010.0,0.83,0.57,0.09,"Sinopharm/Beijing, Sputnik V"
104,Laos,750783.0,614566.0,136217.0,10.32,8.45,1.87,"Sinopharm/Beijing, Sputnik V"
105,Latvia,711106.0,481768.0,243947.0,37.7,25.54,12.93,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
106,Lebanon,737328.0,496596.0,240732.0,10.8,7.28,3.53,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
107,Lesotho,36759.0,36637.0,122.0,1.72,1.71,0.01,Oxford/AstraZeneca
108,Liberia,55690.0,55690.0,0.0,1.1,1.1,0.0,Oxford/AstraZeneca
109,Libya,106559.0,106559.0,0.0,1.55,1.55,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V"
110,Liechtenstein,20184.0,12245.0,7939.0,52.92,32.11,20.82,"Moderna, Pfizer/BioNTech"
111,Lithuania,1590071.0,1005473.0,584598.0,58.41,36.93,21.47,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
112,Luxembourg,334766.0,225549.0,109217.0,53.48,36.03,17.45,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
113,Macao,162723.0,102047.0,61228.0,25.06,15.72,9.43,"Pfizer/BioNTech, Sinopharm/Beijing"
114,Madagascar,21912.0,21912.0,0.0,0.08,0.08,0.0,Oxford/AstraZeneca
115,Malawi,352607.0,352607.0,0.0,1.84,1.84,0.0,Oxford/AstraZeneca
116,Malaysia,2933640.0,1855858.0,1077782.0,9.06,5.73,3.33,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
117,Maldives,472694.0,308905.0,163789.0,87.45,57.15,30.3,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
118,Mali,110140.0,83549.0,26591.0,0.54,0.41,0.13,Oxford/AstraZeneca
119,Malta,505100.0,314030.0,200199.0,114.4,71.12,45.34,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
120,Mauritania,28382.0,22109.0,6273.0,0.61,0.48,0.13,Sinopharm/Beijing
121,Mauritius,220646.0,212182.0,8464.0,17.35,16.68,0.67,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing"
122,Mexico,29239997.0,20721248.0,12204779.0,22.68,16.07,9.47,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
123,Moldova,398609.0,328268.0,70341.0,9.88,8.14,1.74,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
124,Monaco,30029.0,16502.0,13527.0,76.52,42.05,34.47,Pfizer/BioNTech
125,Mongolia,2957671.0,1850493.0,1107178.0,90.22,56.45,33.77,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
126,Montenegro,191178.0,129071.0,62107.0,30.44,20.55,9.89,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
127,Montserrat,2428.0,1342.0,1086.0,48.57,26.85,21.72,Oxford/AstraZeneca
128,Morocco,14050494.0,8834323.0,5216171.0,38.07,23.93,14.13,"Oxford/AstraZeneca, Sinopharm/Beijing"
129,Mozambique,393105.0,318548.0,74557.0,1.26,1.02,0.24,"Oxford/AstraZeneca, Sinopharm/Beijing"
130,Myanmar,2994900.0,1772177.0,1222723.0,5.5,3.26,2.25,Oxford/AstraZeneca
131,Namibia,74662.0,66344.0,8318.0,2.94,2.61,0.33,"Oxford/AstraZeneca, Sinopharm/Beijing"
132,Nauru,7392.0,7392.0,0.0,68.23,68.23,0.0,Oxford/AstraZeneca
133,Nepal,2761148.0,2113080.0,648068.0,9.48,7.25,2.22,"Oxford/AstraZeneca, Sinopharm/Beijing"
134,Netherlands,8840874.0,6322437.0,2666211.0,51.6,36.9,15.56,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
135,New Caledonia,86639.0,46508.0,40131.0,30.35,16.29,14.06,Oxford/AstraZeneca
136,New Zealand,562149.0,371043.0,191106.0,11.66,7.69,3.96,Pfizer/BioNTech
137,Nicaragua,167500.0,167500.0,0.0,2.53,2.53,0.0,"Oxford/AstraZeneca, Sputnik V"
138,Niger,159525.0,152582.0,6943.0,0.66,0.63,0.03,"Oxford/AstraZeneca, Sinopharm/Beijing"
139,Nigeria,1984242.0,1950298.0,33944.0,0.96,0.95,0.02,Oxford/AstraZeneca
140,North Macedonia,290829.0,231014.0,59815.0,13.96,11.09,2.87,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
